episode,average_score,best_score
1,-500.0,-500.0
2,-500.0,-500.0
3,-500.0,-500.0
4,-500.0,-500.0
5,-500.0,-500.0
6,-500.0,-500.0
7,-500.0,-500.0
8,-500.0,-500.0
9,-500.0,-500.0
10,-500.0,-500.0
11,-500.0,-500.0
12,-500.0,-500.0
13,-500.0,-500.0
14,-500.0,-500.0
15,-500.0,-500.0
16,-500.0,-500.0
17,-500.0,-500.0
18,-500.0,-500.0
19,-500.0,-500.0
20,-500.0,-500.0
21,-500.0,-500.0
22,-500.0,-500.0
23,-497.3478260869565,-497.3478260869565
24,-497.4583333333333,-497.3478260869565
25,-497.56,-497.3478260869565
26,-489.1923076923077,-489.1923076923077
27,-485.22222222222223,-485.22222222222223
28,-473.2142857142857,-473.2142857142857
29,-463.3448275862069,-463.3448275862069
30,-452.93333333333334,-452.93333333333334
31,-443.4193548387097,-443.4193548387097
32,-434.75,-434.75
33,-428.06060606060606,-428.06060606060606
34,-420.7352941176471,-420.7352941176471
35,-413.25714285714287,-413.25714285714287
36,-407.5833333333333,-407.5833333333333
37,-402.7027027027027,-402.7027027027027
38,-396.4736842105263,-396.4736842105263
39,-389.79487179487177,-389.79487179487177
40,-384.4,-384.4
41,-379.0243902439024,-379.0243902439024
42,-374.3095238095238,-374.3095238095238
43,-369.48837209302326,-369.48837209302326
44,-364.4318181818182,-364.4318181818182
45,-360.0444444444444,-360.0444444444444
46,-354.9782608695652,-354.9782608695652
47,-350.74468085106383,-350.74468085106383
48,-346.6666666666667,-346.6666666666667
49,-342.9387755102041,-342.9387755102041
50,-340.3,-340.3
51,-336.8627450980392,-336.8627450980392
52,-333.84615384615387,-333.84615384615387
53,-331.52830188679246,-331.52830188679246
54,-328.98148148148147,-328.98148148148147
55,-325.8727272727273,-325.8727272727273
56,-322.92857142857144,-322.92857142857144
57,-320.3333333333333,-320.3333333333333
58,-317.4655172413793,-317.4655172413793
59,-315.6101694915254,-315.6101694915254
60,-314.28333333333336,-314.28333333333336
61,-312.9672131147541,-312.9672131147541
62,-311.0806451612903,-311.0806451612903
63,-309.7142857142857,-309.7142857142857
64,-309.84375,-309.7142857142857
65,-308.61538461538464,-308.61538461538464
66,-307.969696969697,-307.969696969697
67,-308.5970149253731,-307.969696969697
68,-311.4117647058824,-307.969696969697
69,-311.6521739130435,-307.969696969697
70,-314.34285714285716,-307.969696969697
71,-313.85915492957747,-307.969696969697
72,-316.44444444444446,-307.969696969697
73,-318.958904109589,-307.969696969697
74,-321.4054054054054,-307.969696969697
75,-323.41333333333336,-307.969696969697
76,-325.7368421052632,-307.969696969697
77,-328.0,-307.969696969697
78,-329.15384615384613,-307.969696969697
79,-329.5822784810127,-307.969696969697
80,-331.7125,-307.969696969697
81,-333.7901234567901,-307.969696969697
82,-333.5731707317073,-307.969696969697
83,-335.1686746987952,-307.969696969697
84,-336.7857142857143,-307.969696969697
85,-338.70588235294116,-307.969696969697
86,-340.5813953488372,-307.969696969697
87,-341.01149425287355,-307.969696969697
88,-340.84090909090907,-307.969696969697
89,-340.87640449438203,-307.969696969697
90,-341.8888888888889,-307.969696969697
91,-343.6263736263736,-307.969696969697
92,-343.9891304347826,-307.969696969697
93,-345.6666666666667,-307.969696969697
94,-347.3085106382979,-307.969696969697
95,-348.9157894736842,-307.969696969697
96,-350.4895833333333,-307.969696969697
97,-351.0515463917526,-307.969696969697
98,-352.42857142857144,-307.969696969697
99,-353.75757575757575,-307.969696969697
100,-354.86,-307.969696969697
101,-354.7,-307.969696969697
102,-354.7,-307.969696969697
103,-354.7,-307.969696969697
104,-354.7,-307.969696969697
105,-354.49,-307.969696969697
106,-354.49,-307.969696969697
107,-354.49,-307.969696969697
108,-353.23,-307.969696969697
109,-352.18,-307.969696969697
110,-352.18,-307.969696969697
111,-351.97,-307.969696969697
112,-351.86,-307.969696969697
113,-351.86,-307.969696969697
114,-350.67,-307.969696969697
115,-350.65,-307.969696969697
116,-350.65,-307.969696969697
117,-350.65,-307.969696969697
118,-350.65,-307.969696969697
119,-350.65,-307.969696969697
120,-350.24,-307.969696969697
121,-350.24,-307.969696969697
122,-348.96,-307.969696969697
123,-348.69,-307.969696969697
124,-348.69,-307.969696969697
125,-348.26,-307.969696969697
126,-350.46,-307.969696969697
127,-350.09,-307.969696969697
128,-353.6,-307.969696969697
129,-356.73,-307.969696969697
130,-359.39,-307.969696969697
131,-360.87,-307.969696969697
132,-364.21,-307.969696969697
133,-367.07,-307.969696969697
134,-370.28,-307.969696969697
135,-373.69,-307.969696969697
136,-376.6,-307.969696969697
137,-378.82,-307.969696969697
138,-382.16,-307.969696969697
139,-385.8,-307.969696969697
140,-389.06,-307.969696969697
141,-392.42,-307.969696969697
142,-395.22,-307.969696969697
143,-398.1,-307.969696969697
