episode,average_score,best_score
1,2.0,2.0
2,6.5,6.5
3,5.666666666666667,6.5
4,4.5,6.5
5,4.6,6.5
6,4.666666666666667,6.5
7,4.714285714285714,6.5
8,6.25,6.5
9,7.888888888888889,7.888888888888889
10,7.8,7.888888888888889
11,8.0,8.0
12,7.833333333333333,8.0
13,7.769230769230769,8.0
14,7.928571428571429,8.0
15,7.8,8.0
16,7.8125,8.0
17,7.764705882352941,8.0
18,7.888888888888889,8.0
19,8.68421052631579,8.68421052631579
20,8.55,8.68421052631579
21,8.428571428571429,8.68421052631579
22,8.545454545454545,8.68421052631579
23,8.521739130434783,8.68421052631579
24,8.625,8.68421052631579
25,8.6,8.68421052631579
26,8.538461538461538,8.68421052631579
27,8.481481481481481,8.68421052631579
28,8.714285714285714,8.714285714285714
29,8.724137931034482,8.724137931034482
30,8.6,8.724137931034482
31,8.741935483870968,8.741935483870968
32,8.625,8.741935483870968
33,8.545454545454545,8.741935483870968
34,8.676470588235293,8.741935483870968
35,8.742857142857142,8.742857142857142
36,8.75,8.75
37,8.621621621621621,8.75
38,8.552631578947368,8.75
39,8.487179487179487,8.75
40,8.425,8.75
41,8.268292682926829,8.75
42,8.166666666666666,8.75
43,8.13953488372093,8.75
44,8.045454545454545,8.75
45,8.0,8.75
46,7.978260869565218,8.75
47,7.8936170212765955,8.75
48,7.854166666666667,8.75
49,7.836734693877551,8.75
50,7.8,8.75
51,7.803921568627451,8.75
52,7.75,8.75
53,7.754716981132075,8.75
54,7.666666666666667,8.75
55,7.709090909090909,8.75
56,7.696428571428571,8.75
57,7.578947368421052,8.75
58,7.603448275862069,8.75
59,7.52542372881356,8.75
60,7.65,8.75
61,7.557377049180328,8.75
62,7.532258064516129,8.75
63,7.444444444444445,8.75
64,7.390625,8.75
65,7.384615384615385,8.75
66,7.363636363636363,8.75
67,7.343283582089552,8.75
68,7.382352941176471,8.75
69,7.318840579710145,8.75
70,7.285714285714286,8.75
71,7.253521126760563,8.75
72,7.236111111111111,8.75
73,7.2465753424657535,8.75
74,7.27027027027027,8.75
75,7.306666666666667,8.75
76,7.315789473684211,8.75
77,7.324675324675325,8.75
78,7.32051282051282,8.75
79,7.3164556962025316,8.75
80,7.3125,8.75
81,7.320987654320987,8.75
82,7.426829268292683,8.75
83,7.397590361445783,8.75
84,7.416666666666667,8.75
85,7.364705882352941,8.75
86,7.325581395348837,8.75
87,7.333333333333333,8.75
88,7.2727272727272725,8.75
89,7.235955056179775,8.75
90,7.222222222222222,8.75
91,7.252747252747253,8.75
92,7.304347826086956,8.75
93,7.333333333333333,8.75
94,7.553191489361702,8.75
95,7.578947368421052,8.75
96,7.666666666666667,8.75
97,7.670103092783505,8.75
98,7.663265306122449,8.75
99,7.646464646464646,8.75
100,7.62,8.75
101,7.69,8.75
102,7.73,8.75
103,7.75,8.75
104,7.82,8.75
105,7.81,8.75
106,7.88,8.75
107,7.87,8.75
108,7.8,8.75
109,7.68,8.75
110,7.76,8.75
111,7.72,8.75
112,7.69,8.75
113,7.66,8.75
114,7.63,8.75
115,7.63,8.75
116,7.65,8.75
117,7.61,8.75
118,7.6,8.75
119,7.48,8.75
120,7.46,8.75
121,7.45,8.75
122,7.38,8.75
123,7.38,8.75
124,7.35,8.75
125,7.4,8.75
126,7.37,8.75
127,7.37,8.75
128,7.35,8.75
129,7.35,8.75
130,7.32,8.75
131,7.28,8.75
132,7.31,8.75
133,7.28,8.75
134,7.21,8.75
135,7.13,8.75
136,7.11,8.75
137,7.17,8.75
138,7.23,8.75
139,7.22,8.75
140,7.23,8.75
141,7.3,8.75
142,7.3,8.75
143,7.3,8.75
144,7.3,8.75
145,7.33,8.75
146,7.46,8.75
147,7.47,8.75
148,7.47,8.75
149,7.44,8.75
150,7.42,8.75
151,7.4,8.75
152,7.41,8.75
153,7.36,8.75
154,7.37,8.75
155,7.37,8.75
156,7.35,8.75
157,7.42,8.75
158,7.35,8.75
159,7.4,8.75
160,7.35,8.75
161,7.4,8.75
162,7.42,8.75
163,7.56,8.75
164,7.56,8.75
165,7.58,8.75
166,7.59,8.75
167,7.68,8.75
168,7.61,8.75
169,7.67,8.75
170,7.72,8.75
171,7.7,8.75
172,7.69,8.75
173,7.65,8.75
174,7.68,8.75
175,7.62,8.75
176,7.58,8.75
177,7.55,8.75
178,7.54,8.75
179,7.54,8.75
180,7.54,8.75
181,7.53,8.75
182,7.44,8.75
183,7.44,8.75
184,7.41,8.75
185,7.49,8.75
186,7.53,8.75
187,7.54,8.75
188,7.57,8.75
189,7.56,8.75
190,7.61,8.75
191,7.58,8.75
192,7.53,8.75
193,7.48,8.75
194,7.27,8.75
195,7.21,8.75
196,7.11,8.75
197,7.1,8.75
198,7.09,8.75
199,7.07,8.75
200,7.09,8.75
201,7.05,8.75
202,6.99,8.75
203,7.0,8.75
204,6.98,8.75
205,7.0,8.75
206,6.96,8.75
207,6.96,8.75
208,6.91,8.75
209,6.9,8.75
210,6.9,8.75
211,6.9,8.75
212,6.95,8.75
213,7.0,8.75
214,6.98,8.75
215,7.0,8.75
216,6.95,8.75
217,7.0,8.75
218,6.96,8.75
219,6.92,8.75
220,7.01,8.75
221,7.01,8.75
222,7.01,8.75
223,6.95,8.75
224,6.93,8.75
225,6.84,8.75
226,6.86,8.75
227,6.88,8.75
228,6.84,8.75
229,6.8,8.75
230,6.83,8.75
231,6.81,8.75
232,6.81,8.75
233,6.88,8.75
234,6.87,8.75
235,6.92,8.75
236,6.9,8.75
237,6.84,8.75
238,6.75,8.75
239,6.74,8.75
240,6.73,8.75
241,6.67,8.75
242,6.75,8.75
243,6.72,8.75
244,6.74,8.75
245,6.69,8.75
246,6.52,8.75
247,6.51,8.75
248,6.5,8.75
249,6.57,8.75
250,6.6,8.75
251,6.64,8.75
252,6.68,8.75
253,6.71,8.75
254,6.71,8.75
255,6.68,8.75
256,6.73,8.75
257,6.69,8.75
258,6.75,8.75
259,6.74,8.75
260,6.71,8.75
261,6.73,8.75
262,6.72,8.75
263,6.63,8.75
264,6.73,8.75
265,6.7,8.75
266,6.71,8.75
267,6.65,8.75
268,6.7,8.75
269,6.64,8.75
270,6.57,8.75
271,6.62,8.75
272,6.63,8.75
273,6.65,8.75
274,6.57,8.75
275,6.6,8.75
276,6.64,8.75
277,6.65,8.75
278,6.63,8.75
279,6.65,8.75
280,6.68,8.75
281,6.69,8.75
282,6.72,8.75
283,6.72,8.75
284,6.73,8.75
285,6.63,8.75
286,6.61,8.75
287,6.62,8.75
288,6.65,8.75
289,6.73,8.75
290,6.7,8.75
291,6.66,8.75
292,6.66,8.75
293,6.69,8.75
294,6.68,8.75
295,6.69,8.75
296,6.67,8.75
