episode,average_score,best_score
1,29.0,29.0
2,27.0,29.0
3,23.333333333333332,29.0
4,23.5,29.0
5,23.2,29.0
6,22.0,29.0
7,24.428571428571427,29.0
8,23.625,29.0
9,22.555555555555557,29.0
10,22.0,29.0
11,22.545454545454547,29.0
12,23.166666666666668,29.0
13,22.923076923076923,29.0
14,22.0,29.0
15,21.533333333333335,29.0
16,21.5,29.0
17,21.470588235294116,29.0
18,21.5,29.0
19,21.63157894736842,29.0
20,21.15,29.0
21,21.285714285714285,29.0
22,21.181818181818183,29.0
23,21.130434782608695,29.0
24,21.166666666666668,29.0
25,21.0,29.0
26,21.26923076923077,29.0
27,21.037037037037038,29.0
28,21.178571428571427,29.0
29,21.17241379310345,29.0
30,21.2,29.0
31,21.322580645161292,29.0
32,21.25,29.0
33,21.393939393939394,29.0
34,21.647058823529413,29.0
35,21.428571428571427,29.0
36,21.36111111111111,29.0
37,21.243243243243242,29.0
38,20.842105263157894,29.0
39,20.94871794871795,29.0
40,21.1,29.0
41,21.170731707317074,29.0
42,21.38095238095238,29.0
43,21.25581395348837,29.0
44,21.386363636363637,29.0
45,21.4,29.0
46,21.32608695652174,29.0
47,21.425531914893618,29.0
48,21.416666666666668,29.0
49,21.46938775510204,29.0
50,21.56,29.0
51,21.50980392156863,29.0
52,21.653846153846153,29.0
53,21.452830188679247,29.0
54,21.574074074074073,29.0
55,21.636363636363637,29.0
56,21.589285714285715,29.0
57,21.736842105263158,29.0
58,21.655172413793103,29.0
59,21.559322033898304,29.0
60,21.766666666666666,29.0
61,21.672131147540984,29.0
62,21.629032258064516,29.0
63,21.650793650793652,29.0
64,21.671875,29.0
65,21.50769230769231,29.0
66,21.318181818181817,29.0
67,21.253731343283583,29.0
68,21.294117647058822,29.0
69,21.304347826086957,29.0
70,21.285714285714285,29.0
71,21.169014084507044,29.0
72,21.11111111111111,29.0
73,21.17808219178082,29.0
74,21.324324324324323,29.0
75,21.333333333333332,29.0
76,21.394736842105264,29.0
77,21.324675324675326,29.0
78,21.205128205128204,29.0
79,21.11392405063291,29.0
