episode,average_score,best_score
1,29.0,29.0
2,24.0,29.0
3,24.333333333333332,29.0
4,22.5,29.0
5,24.2,29.0
6,24.0,29.0
7,27.142857142857142,29.0
8,28.125,29.0
9,27.333333333333332,29.0
10,27.5,29.0
11,26.545454545454547,29.0
12,26.333333333333332,29.0
13,27.307692307692307,29.0
14,27.0,29.0
15,27.933333333333334,29.0
16,28.375,29.0
17,27.647058823529413,29.0
18,26.77777777777778,29.0
19,26.842105263157894,29.0
20,26.85,29.0
21,27.142857142857142,29.0
22,26.863636363636363,29.0
23,26.695652173913043,29.0
24,28.041666666666668,29.0
25,28.12,29.0
26,27.576923076923077,29.0
27,27.62962962962963,29.0
28,27.571428571428573,29.0
29,28.17241379310345,29.0
30,27.933333333333334,29.0
31,28.129032258064516,29.0
32,27.65625,29.0
33,27.606060606060606,29.0
34,27.294117647058822,29.0
35,27.34285714285714,29.0
36,26.944444444444443,29.0
37,26.864864864864863,29.0
38,26.763157894736842,29.0
39,26.794871794871796,29.0
40,26.8,29.0
41,26.78048780487805,29.0
42,26.761904761904763,29.0
43,26.651162790697676,29.0
44,26.613636363636363,29.0
45,26.711111111111112,29.0
46,26.434782608695652,29.0
47,26.27659574468085,29.0
48,26.416666666666668,29.0
49,26.26530612244898,29.0
50,26.02,29.0
51,26.07843137254902,29.0
52,25.884615384615383,29.0
53,25.90566037735849,29.0
54,25.833333333333332,29.0
55,25.6,29.0
56,25.5,29.0
57,26.07017543859649,29.0
58,25.810344827586206,29.0
59,25.74576271186441,29.0
60,25.666666666666668,29.0
61,25.524590163934427,29.0
62,25.56451612903226,29.0
63,25.666666666666668,29.0
64,25.796875,29.0
65,25.83076923076923,29.0
66,25.772727272727273,29.0
67,25.940298507462686,29.0
68,25.955882352941178,29.0
69,26.043478260869566,29.0
70,25.857142857142858,29.0
71,25.746478873239436,29.0
72,25.98611111111111,29.0
73,25.945205479452056,29.0
74,25.83783783783784,29.0
75,25.92,29.0
76,26.263157894736842,29.0
77,26.272727272727273,29.0
78,26.23076923076923,29.0
79,26.354430379746834,29.0
80,26.2875,29.0
81,26.271604938271604,29.0
82,26.21951219512195,29.0
83,26.301204819277107,29.0
84,26.226190476190474,29.0
85,26.31764705882353,29.0
86,26.337209302325583,29.0
87,26.413793103448278,29.0
88,26.329545454545453,29.0
89,26.258426966292134,29.0
90,26.244444444444444,29.0
91,26.164835164835164,29.0
92,26.152173913043477,29.0
93,26.021505376344088,29.0
94,26.01063829787234,29.0
95,25.936842105263157,29.0
96,25.875,29.0
97,25.855670103092784,29.0
98,25.785714285714285,29.0
99,25.91919191919192,29.0
100,25.98,29.0
101,25.9,29.0
102,25.98,29.0
103,25.88,29.0
104,25.99,29.0
105,25.86,29.0
106,25.86,29.0
107,25.72,29.0
108,25.77,29.0
109,25.86,29.0
110,25.79,29.0
111,25.88,29.0
112,25.81,29.0
113,25.59,29.0
114,25.62,29.0
115,25.59,29.0
116,25.35,29.0
117,25.35,29.0
118,25.39,29.0
119,25.26,29.0
120,25.31,29.0
121,25.27,29.0
122,25.36,29.0
123,25.38,29.0
124,25.03,29.0
125,25.06,29.0
126,25.16,29.0
127,25.02,29.0
128,24.94,29.0
129,24.75,29.0
130,24.81,29.0
131,24.64,29.0
132,24.61,29.0
133,24.58,29.0
