episode,average_score,best_score
1,1.0,1.0
2,0.5,1.0
3,0.6666666666666666,1.0
4,1.0,1.0
5,0.8,1.0
6,0.6666666666666666,1.0
7,0.5714285714285714,1.0
8,0.5,1.0
9,0.4444444444444444,1.0
10,0.4,1.0
11,0.36363636363636365,1.0
12,0.3333333333333333,1.0
13,0.3076923076923077,1.0
14,0.2857142857142857,1.0
15,0.26666666666666666,1.0
16,0.375,1.0
17,0.4117647058823529,1.0
18,0.5555555555555556,1.0
19,0.5789473684210527,1.0
20,0.55,1.0
21,0.5238095238095238,1.0
22,0.6363636363636364,1.0
23,0.6956521739130435,1.0
24,0.7083333333333334,1.0
25,0.72,1.0
26,0.7307692307692307,1.0
27,0.7777777777777778,1.0
28,0.75,1.0
29,0.7241379310344828,1.0
30,0.7,1.0
31,0.6774193548387096,1.0
32,0.71875,1.0
33,0.696969696969697,1.0
34,0.7352941176470589,1.0
35,0.7428571428571429,1.0
36,0.7222222222222222,1.0
37,0.7027027027027027,1.0
38,0.6842105263157895,1.0
39,0.6666666666666666,1.0
40,0.65,1.0
41,0.6341463414634146,1.0
42,0.6190476190476191,1.0
43,0.6046511627906976,1.0
44,0.5909090909090909,1.0
45,0.6,1.0
46,0.5869565217391305,1.0
47,0.574468085106383,1.0
48,0.5833333333333334,1.0
49,0.5714285714285714,1.0
50,0.58,1.0
51,0.5686274509803921,1.0
52,0.5576923076923077,1.0
53,0.5471698113207547,1.0
54,0.5925925925925926,1.0
55,0.5818181818181818,1.0
56,0.5714285714285714,1.0
57,0.5614035087719298,1.0
58,0.5689655172413793,1.0
59,0.576271186440678,1.0
60,0.5833333333333334,1.0
61,0.5737704918032787,1.0
62,0.5806451612903226,1.0
63,0.5714285714285714,1.0
64,0.578125,1.0
65,0.5846153846153846,1.0
66,0.6363636363636364,1.0
67,0.6716417910447762,1.0
68,0.6617647058823529,1.0
69,0.6666666666666666,1.0
70,0.6714285714285714,1.0
71,0.676056338028169,1.0
72,0.6944444444444444,1.0
73,0.6986301369863014,1.0
74,0.7027027027027027,1.0
75,0.7066666666666667,1.0
76,0.7105263157894737,1.0
77,0.7142857142857143,1.0
78,0.717948717948718,1.0
79,0.7215189873417721,1.0
80,0.725,1.0
81,0.7283950617283951,1.0
82,0.7317073170731707,1.0
83,0.7469879518072289,1.0
84,0.75,1.0
85,0.7411764705882353,1.0
86,0.7674418604651163,1.0
87,0.7586206896551724,1.0
88,0.7840909090909091,1.0
89,0.797752808988764,1.0
90,0.8,1.0
91,0.8021978021978022,1.0
92,0.7934782608695652,1.0
93,0.7956989247311828,1.0
94,0.7872340425531915,1.0
95,0.7894736842105263,1.0
96,0.8020833333333334,1.0
97,0.8041237113402062,1.0
98,0.8061224489795918,1.0
99,0.8080808080808081,1.0
100,0.8,1.0
101,0.8,1.0
102,0.82,1.0
103,0.82,1.0
104,0.8,1.0
105,0.81,1.0
106,0.82,1.0
107,0.83,1.0
108,0.85,1.0
109,0.86,1.0
110,0.86,1.0
111,0.86,1.0
112,0.91,1.0
113,0.92,1.0
114,0.92,1.0
115,0.92,1.0
116,0.91,1.0
117,0.91,1.0
118,0.89,1.0
119,0.9,1.0
120,0.91,1.0
121,0.92,1.0
122,0.92,1.0
123,0.93,1.0
124,0.92,1.0
125,0.92,1.0
126,0.92,1.0
127,0.91,1.0
128,0.92,1.0
129,0.94,1.0
130,0.96,1.0
131,0.97,1.0
132,0.95,1.0
133,0.98,1.0
134,0.98,1.0
135,0.98,1.0
136,0.98,1.0
137,0.99,1.0
138,0.99,1.0
139,0.99,1.0
140,1.01,1.01
141,1.02,1.02
142,1.04,1.04
143,1.06,1.06
144,1.1,1.1
145,1.1,1.1
146,1.12,1.12
147,1.13,1.13
148,1.14,1.14
149,1.16,1.16
150,1.16,1.16
151,1.19,1.19
152,1.21,1.21
153,1.25,1.25
154,1.24,1.25
155,1.25,1.25
156,1.26,1.26
157,1.28,1.28
158,1.29,1.29
159,1.29,1.29
160,1.3,1.3
161,1.32,1.32
162,1.32,1.32
163,1.34,1.34
164,1.35,1.35
165,1.35,1.35
166,1.32,1.35
167,1.31,1.35
168,1.31,1.35
169,1.3,1.35
170,1.29,1.35
171,1.3,1.35
172,1.29,1.35
173,1.31,1.35
174,1.32,1.35
175,1.33,1.35
176,1.34,1.35
177,1.35,1.35
178,1.35,1.35
179,1.37,1.37
180,1.38,1.38
181,1.41,1.41
182,1.42,1.42
183,1.41,1.42
184,1.4,1.42
185,1.41,1.42
186,1.39,1.42
187,1.41,1.42
188,1.39,1.42
189,1.38,1.42
190,1.37,1.42
191,1.38,1.42
192,1.4,1.42
193,1.39,1.42
194,1.4,1.42
195,1.41,1.42
196,1.4,1.42
197,1.41,1.42
198,1.41,1.42
199,1.41,1.42
200,1.43,1.43
201,1.45,1.45
202,1.46,1.46
203,1.48,1.48
204,1.51,1.51
205,1.52,1.52
206,1.55,1.55
207,1.55,1.55
208,1.54,1.55
209,1.55,1.55
210,1.57,1.57
211,1.57,1.57
212,1.53,1.57
213,1.55,1.57
214,1.58,1.58
215,1.6,1.6
216,1.61,1.61
217,1.6,1.61
218,1.61,1.61
219,1.61,1.61
220,1.6,1.61
221,1.6,1.61
222,1.59,1.61
223,1.57,1.61
224,1.58,1.61
225,1.58,1.61
226,1.58,1.61
227,1.59,1.61
228,1.59,1.61
229,1.58,1.61
230,1.57,1.61
231,1.58,1.61
232,1.59,1.61
233,1.57,1.61
234,1.57,1.61
235,1.57,1.61
236,1.58,1.61
237,1.59,1.61
238,1.61,1.61
239,1.62,1.62
240,1.61,1.62
241,1.61,1.62
242,1.6,1.62
243,1.59,1.62
244,1.56,1.62
245,1.56,1.62
246,1.55,1.62
247,1.55,1.62
248,1.56,1.62
249,1.56,1.62
250,1.56,1.62
251,1.54,1.62
252,1.56,1.62
253,1.55,1.62
254,1.54,1.62
255,1.55,1.62
256,1.54,1.62
257,1.54,1.62
258,1.54,1.62
259,1.54,1.62
260,1.53,1.62
261,1.52,1.62
262,1.51,1.62
263,1.5,1.62
264,1.49,1.62
265,1.49,1.62
266,1.5,1.62
267,1.5,1.62
268,1.51,1.62
269,1.53,1.62
270,1.55,1.62
271,1.58,1.62
272,1.59,1.62
273,1.56,1.62
274,1.55,1.62
275,1.54,1.62
276,1.53,1.62
277,1.51,1.62
278,1.51,1.62
279,1.5,1.62
280,1.49,1.62
281,1.46,1.62
282,1.46,1.62
283,1.47,1.62
284,1.48,1.62
285,1.49,1.62
286,1.48,1.62
287,1.48,1.62
288,1.48,1.62
289,1.48,1.62
290,1.49,1.62
291,1.48,1.62
292,1.48,1.62
293,1.5,1.62
294,1.52,1.62
295,1.51,1.62
296,1.5,1.62
297,1.5,1.62
298,1.5,1.62
299,1.52,1.62
300,1.52,1.62
301,1.49,1.62
302,1.48,1.62
303,1.46,1.62
304,1.44,1.62
305,1.44,1.62
306,1.42,1.62
307,1.44,1.62
308,1.44,1.62
309,1.44,1.62
310,1.43,1.62
311,1.45,1.62
312,1.46,1.62
313,1.44,1.62
314,1.42,1.62
315,1.41,1.62
316,1.41,1.62
317,1.42,1.62
318,1.41,1.62
319,1.43,1.62
320,1.44,1.62
321,1.44,1.62
322,1.42,1.62
323,1.42,1.62
324,1.42,1.62
325,1.42,1.62
326,1.44,1.62
327,1.43,1.62
328,1.42,1.62
329,1.42,1.62
330,1.42,1.62
331,1.42,1.62
332,1.43,1.62
333,1.45,1.62
334,1.44,1.62
335,1.44,1.62
336,1.44,1.62
337,1.44,1.62
338,1.43,1.62
339,1.44,1.62
340,1.46,1.62
341,1.46,1.62
342,1.47,1.62
343,1.48,1.62
344,1.5,1.62
345,1.52,1.62
