episode,average_score,best_score
1,-22.0,-22.0
2,-23.0,-22.0
3,-22.666666666666668,-22.0
4,-23.0,-22.0
5,-23.2,-22.0
6,-23.333333333333332,-22.0
7,-23.428571428571427,-22.0
8,-23.5,-22.0
9,-23.333333333333332,-22.0
10,-23.2,-22.0
11,-23.272727272727273,-22.0
12,-23.333333333333332,-22.0
13,-23.384615384615383,-22.0
14,-23.428571428571427,-22.0
15,-23.333333333333332,-22.0
16,-23.375,-22.0
17,-23.41176470588235,-22.0
18,-23.444444444444443,-22.0
19,-23.473684210526315,-22.0
20,-23.5,-22.0
21,-23.523809523809526,-22.0
22,-23.545454545454547,-22.0
23,-23.565217391304348,-22.0
24,-23.583333333333332,-22.0
25,-23.6,-22.0
26,-23.615384615384617,-22.0
27,-23.62962962962963,-22.0
28,-23.642857142857142,-22.0
29,-23.655172413793103,-22.0
30,-23.666666666666668,-22.0
31,-23.677419354838708,-22.0
32,-23.5625,-22.0
33,-23.515151515151516,-22.0
34,-23.529411764705884,-22.0
35,-23.485714285714284,-22.0
36,-23.38888888888889,-22.0
37,-23.405405405405407,-22.0
38,-23.42105263157895,-22.0
39,-23.384615384615383,-22.0
40,-23.4,-22.0
41,-23.414634146341463,-22.0
42,-23.38095238095238,-22.0
43,-23.3953488372093,-22.0
44,-23.40909090909091,-22.0
45,-23.377777777777776,-22.0
46,-23.391304347826086,-22.0
47,-23.404255319148938,-22.0
48,-23.375,-22.0
49,-23.346938775510203,-22.0
50,-23.32,-22.0
51,-23.333333333333332,-22.0
52,-23.307692307692307,-22.0
53,-23.28301886792453,-22.0
54,-23.185185185185187,-22.0
55,-23.163636363636364,-22.0
56,-23.178571428571427,-22.0
57,-23.087719298245613,-22.0
58,-23.103448275862068,-22.0
59,-23.11864406779661,-22.0
60,-23.1,-22.0
61,-23.114754098360656,-22.0
62,-23.096774193548388,-22.0
63,-23.11111111111111,-22.0
64,-23.125,-22.0
65,-23.107692307692307,-22.0
66,-23.12121212121212,-22.0
67,-23.044776119402986,-22.0
68,-22.941176470588236,-22.0
69,-22.956521739130434,-22.0
70,-22.942857142857143,-22.0
71,-22.95774647887324,-22.0
72,-22.944444444444443,-22.0
73,-22.958904109589042,-22.0
74,-22.972972972972972,-22.0
75,-22.933333333333334,-22.0
76,-22.94736842105263,-22.0
77,-22.961038961038962,-22.0
78,-22.94871794871795,-22.0
79,-22.936708860759495,-22.0
80,-22.95,-22.0
81,-22.938271604938272,-22.0
82,-22.926829268292682,-22.0
83,-22.93975903614458,-22.0
84,-22.928571428571427,-22.0
85,-22.941176470588236,-22.0
86,-22.953488372093023,-22.0
87,-22.96551724137931,-22.0
88,-22.931818181818183,-22.0
89,-22.921348314606742,-22.0
90,-22.933333333333334,-22.0
91,-22.945054945054945,-22.0
92,-22.934782608695652,-22.0
93,-22.946236559139784,-22.0
94,-22.95744680851064,-22.0
95,-22.94736842105263,-22.0
96,-22.958333333333332,-22.0
97,-22.948453608247423,-22.0
98,-22.959183673469386,-22.0
99,-22.96969696969697,-22.0
100,-22.98,-22.0
101,-22.98,-22.0
102,-22.98,-22.0
103,-23.0,-22.0
104,-23.0,-22.0
105,-22.96,-22.0
106,-22.96,-22.0
107,-22.92,-22.0
108,-22.92,-22.0
109,-22.94,-22.0
110,-22.94,-22.0
111,-22.92,-22.0
112,-22.92,-22.0
113,-22.9,-22.0
114,-22.9,-22.0
115,-22.88,-22.0
116,-22.88,-22.0
117,-22.88,-22.0
118,-22.88,-22.0
119,-22.88,-22.0
120,-22.88,-22.0
121,-22.88,-22.0
122,-22.84,-22.0
123,-22.84,-22.0
124,-22.82,-22.0
125,-22.8,-22.0
126,-22.78,-22.0
127,-22.78,-22.0
128,-22.78,-22.0
129,-22.78,-22.0
130,-22.78,-22.0
131,-22.78,-22.0
132,-22.82,-22.0
133,-22.8,-22.0
134,-22.8,-22.0
135,-22.82,-22.0
136,-22.84,-22.0
137,-22.82,-22.0
138,-22.82,-22.0
139,-22.82,-22.0
140,-22.78,-22.0
141,-22.78,-22.0
142,-22.8,-22.0
143,-22.8,-22.0
144,-22.78,-22.0
145,-22.74,-22.0
146,-22.74,-22.0
147,-22.72,-22.0
148,-22.74,-22.0
149,-22.76,-22.0
150,-22.76,-22.0
151,-22.76,-22.0
152,-22.74,-22.0
153,-22.74,-22.0
154,-22.8,-22.0
155,-22.82,-22.0
156,-22.8,-22.0
157,-22.86,-22.0
158,-22.86,-22.0
159,-22.82,-22.0
160,-22.82,-22.0
161,-22.82,-22.0
162,-22.82,-22.0
163,-22.82,-22.0
164,-22.82,-22.0
165,-22.82,-22.0
166,-22.82,-22.0
167,-22.86,-22.0
168,-22.92,-22.0
169,-22.92,-22.0
170,-22.94,-22.0
171,-22.94,-22.0
172,-22.96,-22.0
173,-22.94,-22.0
174,-22.94,-22.0
175,-22.96,-22.0
176,-22.96,-22.0
177,-22.92,-22.0
178,-22.94,-22.0
179,-22.94,-22.0
180,-22.94,-22.0
181,-22.94,-22.0
182,-22.96,-22.0
183,-22.96,-22.0
184,-22.98,-22.0
185,-22.98,-22.0
186,-22.98,-22.0
187,-22.96,-22.0
188,-22.98,-22.0
189,-23.0,-22.0
190,-22.98,-22.0
191,-22.94,-22.0
192,-22.92,-22.0
193,-22.92,-22.0
194,-22.92,-22.0
195,-22.94,-22.0
196,-22.94,-22.0
197,-22.96,-22.0
198,-22.96,-22.0
199,-22.94,-22.0
200,-22.92,-22.0
201,-22.92,-22.0
202,-22.92,-22.0
203,-22.9,-22.0
204,-22.88,-22.0
205,-22.9,-22.0
206,-22.88,-22.0
207,-22.9,-22.0
208,-22.9,-22.0
