episode,average_score,best_score
1,-522.953504316705,-522.953504316705
2,-341.2517941384349,-341.2517941384349
3,-248.77944718886613,-248.77944718886613
4,-232.42400876822188,-232.42400876822188
5,-206.25128170229112,-206.25128170229112
6,-187.53354871008767,-187.53354871008767
7,-176.35760884302948,-176.35760884302948
8,-191.1261224483298,-176.35760884302948
9,-184.85714755504551,-176.35760884302948
10,-170.75036041286512,-170.75036041286512
11,-174.00315408446065,-170.75036041286512
12,-159.18366575327406,-159.18366575327406
13,-153.71924720953342,-153.71924720953342
14,-160.15407104929812,-153.71924720953342
15,-171.08460709103227,-153.71924720953342
16,-172.2832146271641,-153.71924720953342
17,-180.70459052944574,-153.71924720953342
18,-182.39749900459842,-153.71924720953342
19,-178.37208630684358,-153.71924720953342
20,-174.65620856544484,-153.71924720953342
21,-177.92257162491288,-153.71924720953342
22,-170.13371719228707,-153.71924720953342
23,-166.2694110723098,-153.71924720953342
24,-172.3569616334837,-153.71924720953342
25,-168.9509111942568,-153.71924720953342
26,-177.5697331154467,-153.71924720953342
27,-183.60714840298564,-153.71924720953342
28,-178.13582788065682,-153.71924720953342
29,-175.96578059865067,-153.71924720953342
30,-177.63935330272486,-153.71924720953342
31,-180.03793887405917,-153.71924720953342
32,-178.8365331054631,-153.71924720953342
33,-181.16621053466838,-153.71924720953342
34,-186.81933918314866,-153.71924720953342
35,-195.73661590488663,-153.71924720953342
36,-195.71642154905604,-153.71924720953342
37,-193.66641115290622,-153.71924720953342
38,-190.53061051482126,-153.71924720953342
39,-188.66120139117987,-153.71924720953342
40,-192.4805017070708,-153.71924720953342
41,-191.71043873634147,-153.71924720953342
42,-189.22405924691998,-153.71924720953342
43,-186.3226547850373,-153.71924720953342
44,-184.19780654614758,-153.71924720953342
45,-182.41532610972018,-153.71924720953342
46,-180.22468468505252,-153.71924720953342
47,-178.31419925595569,-153.71924720953342
48,-176.28129341813403,-153.71924720953342
49,-174.2845121592839,-153.71924720953342
50,-172.3655377732763,-153.71924720953342
51,-171.7554810301705,-153.71924720953342
52,-172.4370007230204,-153.71924720953342
53,-176.97020572973219,-153.71924720953342
54,-180.48030943557515,-153.71924720953342
55,-179.57442501137638,-153.71924720953342
56,-178.86747196561438,-153.71924720953342
57,-177.64736818659506,-153.71924720953342
58,-179.1420827203851,-153.71924720953342
59,-177.81341747261908,-153.71924720953342
60,-178.48927008457778,-153.71924720953342
61,-176.94047628959783,-153.71924720953342
62,-174.81027073643347,-153.71924720953342
63,-173.1192969895724,-153.71924720953342
64,-172.94650400860908,-153.71924720953342
65,-171.73686920850568,-153.71924720953342
66,-170.98732898557336,-153.71924720953342
67,-169.81531297152674,-153.71924720953342
68,-171.26150288332627,-153.71924720953342
69,-173.19568512004452,-153.71924720953342
70,-173.69279605017843,-153.71924720953342
71,-175.00941343035456,-153.71924720953342
72,-178.58736244873825,-153.71924720953342
73,-180.46075883782308,-153.71924720953342
74,-184.48618086747553,-153.71924720953342
75,-183.15011608848195,-153.71924720953342
76,-185.47073089506077,-153.71924720953342
77,-184.3516187019533,-153.71924720953342
78,-183.81554879665086,-153.71924720953342
79,-184.7826714677401,-153.71924720953342
80,-184.63133255382323,-153.71924720953342
81,-182.70594558898446,-153.71924720953342
82,-182.59075323182796,-153.71924720953342
83,-185.62168760639236,-153.71924720953342
84,-186.034334911865,-153.71924720953342
85,-184.53362921542745,-153.71924720953342
86,-182.8689755631541,-153.71924720953342
87,-181.55799273104142,-153.71924720953342
88,-182.23840102616617,-153.71924720953342
89,-181.436649762688,-153.71924720953342
90,-182.1466515485749,-153.71924720953342
91,-181.4729660822394,-153.71924720953342
92,-180.68576278298124,-153.71924720953342
93,-179.70760999854514,-153.71924720953342
94,-180.45483231070858,-153.71924720953342
95,-179.72216723246456,-153.71924720953342
96,-179.99351787107955,-153.71924720953342
97,-179.09696765570385,-153.71924720953342
98,-177.45164446072562,-153.71924720953342
99,-176.92603383289025,-153.71924720953342
100,-176.19624320277103,-153.71924720953342
101,-172.03863389868116,-153.71924720953342
102,-172.6297850654633,-153.71924720953342
103,-172.20325361349097,-153.71924720953342
104,-171.07485813610216,-153.71924720953342
105,-171.35591576431972,-153.71924720953342
106,-173.60206053132754,-153.71924720953342
107,-176.17787442986727,-153.71924720953342
108,-174.6842947251611,-153.71924720953342
109,-175.64379330984082,-153.71924720953342
