episode,average_score,best_score
1,52.0,52.0
2,51.5,52.0
3,40.0,52.0
4,36.25,52.0
5,45.4,52.0
6,45.166666666666664,52.0
7,44.0,52.0
8,46.125,52.0
9,44.0,52.0
10,43.9,52.0
11,42.36363636363637,52.0
12,44.75,52.0
13,44.0,52.0
14,44.285714285714285,52.0
15,44.333333333333336,52.0
16,43.5625,52.0
17,42.8235294117647,52.0
18,41.72222222222222,52.0
19,41.421052631578945,52.0
20,41.15,52.0
21,41.04761904761905,52.0
22,40.68181818181818,52.0
23,41.21739130434783,52.0
24,40.125,52.0
25,40.44,52.0
26,40.19230769230769,52.0
27,39.96296296296296,52.0
28,40.32142857142857,52.0
29,40.48275862068966,52.0
30,39.8,52.0
31,39.45161290322581,52.0
32,39.21875,52.0
33,38.96969696969697,52.0
34,38.794117647058826,52.0
35,39.08571428571429,52.0
36,39.27777777777778,52.0
37,39.32432432432432,52.0
38,39.421052631578945,52.0
39,39.23076923076923,52.0
40,39.55,52.0
41,39.48780487804878,52.0
42,39.214285714285715,52.0
43,39.74418604651163,52.0
44,39.43181818181818,52.0
45,39.48888888888889,52.0
46,39.08695652173913,52.0
47,39.0,52.0
48,38.666666666666664,52.0
49,39.285714285714285,52.0
50,39.38,52.0
51,39.05882352941177,52.0
52,39.30769230769231,52.0
53,39.39622641509434,52.0
54,39.51851851851852,52.0
55,39.21818181818182,52.0
56,39.107142857142854,52.0
57,39.01754385964912,52.0
58,39.01724137931034,52.0
59,39.33898305084746,52.0
60,39.53333333333333,52.0
61,39.40983606557377,52.0
62,39.17741935483871,52.0
63,39.84126984126984,52.0
64,39.890625,52.0
65,39.86153846153846,52.0
66,39.57575757575758,52.0
67,39.492537313432834,52.0
68,39.411764705882355,52.0
69,39.69565217391305,52.0
70,39.65714285714286,52.0
71,39.67605633802817,52.0
72,39.75,52.0
73,39.56164383561644,52.0
74,39.472972972972975,52.0
75,39.29333333333334,52.0
76,39.30263157894737,52.0
77,39.1948051948052,52.0
78,39.256410256410255,52.0
79,39.31645569620253,52.0
80,39.675,52.0
81,39.55555555555556,52.0
82,39.84146341463415,52.0
83,39.855421686746986,52.0
84,39.857142857142854,52.0
85,39.917647058823526,52.0
86,40.05813953488372,52.0
87,39.87356321839081,52.0
88,39.90909090909091,52.0
89,39.92134831460674,52.0
90,39.8,52.0
91,39.8021978021978,52.0
92,39.891304347826086,52.0
93,39.88172043010753,52.0
94,40.297872340425535,52.0
95,40.51578947368421,52.0
96,40.802083333333336,52.0
97,41.04123711340206,52.0
98,41.03061224489796,52.0
99,41.22222222222222,52.0
100,41.16,52.0
